Bid Details,,,
Bid End Date/Time,,05-08-2021 14:00:00,
Bid Opening Date/Time,,05-08-2021 14:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Ministry Of Health And Family Welfare,
Department Name,,Department Of Health And Family Welfare,
Organisation Name,,International Institute For Population Sciences (iips),
Office Name,,Mumbai,
Total Quantity,,1,
Item Category,,Credenzas,
OEM Average Turnover (Last 3 Years),,1 Lakh (s),
Years of Past Experience required,,1 Year (s),
MSE Exemption for Years Of Experience,,Yes,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,Past Performance,Certificate (Requestedin ATC),OEM Authorization Certificate,OEM Annual Turnover*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Past Performance,,10 %,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,7 Days,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Registered Brand,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"MATERIAL &MATERIALTHICKNESS",,Material specification,,"Prelaminated particle board of grade II type III of IS12823/Latest.Both side laminated. Outer sidelaminated with shade matching with top shade andfacia shade and having balancing laminate of 0.5mmthickness on other side"
"",,"Material thickness ofcomplete body,Fascia anddrawer/compartment",,"25, 38 Or higher"
"",,"Material thickness for back,partition and drawerbottom/compartmentshelves ±2mm",,"19, 25, 38 Or higher"
"",,Skirting Thickness,,19 Or higher
"",,"All plain panels edge to bebanded",,"With 0.8-1.0 mm thick PVC tape with the help of hotmelt glue"
GENERIC,,Mode of supply,,"Knocked Down to be assembled at consignee site bythe seller"
"",,Design of credenza unit,,Drawer plus compartment with shelves
"",,Number of drawers,,Four Nos
"",,"Number of compartmentswith shelves",,Two Nos
"",,"Number of shelves in eachcompartment",,One Nos
"",,"Number of compartmentwithout shelves",,N.A
"",,"Number of partition forcompartment",,One Nos
"",,"Number of compartment ineach partition",,N.A
"",,"Type of doors forcompartments",,Shutter hung on side
"",,Number of doors,,Two Nos
DIMENSION,,"Width of credenza unit ±20mm",,1400 mm
"",,"Height of credenza unit ±20mm",,750 mm
"",,"Depth of credenza unit±20mm",,450 mm
MISC,,Locking System provided,,YES
COLOUR & FINISH,,Colour,,"As per buyer's choice, oak"
WARRANTY,,"Warrantee period innumber of years",,1
"","Test reports to be furnishedto buyer on demand",,YES,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",,"Product having BIFMAcertification",,NO
"","OEM of offered product isISO 9001:2015 certified",,YES,
"","OEM of offered product isISO 14001:2015 certified",,YES,
"","OEM of offered product isISO 18001:2007 certified",,YES,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer400088,International InstituteFor Population Sciences1Yogita Hiraji Rangari115Govandi station Road , Govandieast, Deonar, Mumbai -400088",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Yogita Hiraji Rangari,,"400088,International InstituteFor Population SciencesGovandi station Road , Govandieast, Deonar, Mumbai -400088",,1,,15,
