Bid Details,,,
Bid End Date/Time,,05-08-2021 15:00:00,
Bid Opening Date/Time,,05-08-2021 15:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,75 (Days),
Ministry/State Name,,Ministry Of Defence,
Department Name,,Department Of Military Affairs,
Organisation Name,,Indian Army,
Office Name,,***********,
Total Quantity,,3,
Item Category,,Executive Table,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
GENERIC,,Mode of supply,,Assembled Ready To Use
"",,Understructure of table,,Gable end and modesty panel
"",,Storage provided,,Both side
"",,Keyboard tray,,Provided
"",,Foot rest,,Provided
MATERIAL,,Table top Material,,"Commercial Block Board BWP grade Conforming to IS1659"
"",,"Gable end and modestypanel material",,"Commercial Block Board BWP grade Conforming to IS1659"
"",,Leg Material,,NO LEGS
MISC,,Table top plain sides,,"Edge to be banded with PVC tape of 2mm thick withthe help of hot melt glue"
"","Gable end and modesty panelplain side",,N.A,
"","Thickness of table top ±2mm",,12.0,
"","Thickness of gable end andmodesty panel ±2mm",,5.0,
"",Length of table top ±10 mm,,1800.0,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",,Depth of table ±10 mm,,850.0
"",,Height of table ±10 mm,,750.0
"",,"Dimension of leg(mmXmm)±5mm",,No legs
STORAGE UNIT,,"Number of Storage unitprovided",,No storage
"",,Width of storage unit ±10mm,,N.A
"",,"Depth of storage unit in mm(±10mm)",,NA
"",,"Height of smallest storage unit±5mm",,N.A
"",,"Height of medium storage unit±5mm",,N.A
"",,"Height of largest storage unit±5mm",,N.A
KEYBOARD TRAY,,Type of keyboard tray,,N.A
"","Material of keyboard tray andRight angle L-type supportingbracket",,N.A,
"",Keyboard adjustablity,,N.A,
"",fixing of supporting bracket,,N.A,
"","Length of telescopicchanne±l0mm",,"400mm, N.A",
"","Average weight of telescopicchannel ±50Gms",,"600Gms per set, N.A",
"",Keyboard front width±10mm,,N.A,
"",Keyboard depth±10mm,,N.A,
"",Keyboard height±10mm,,N.A,
"","Finish of exposed edges ofkeyboard tray",,N.A,
"","Material thickness of keyboardtray ±1mm",,N.A,
"",Material of footrest,,N.A,
"",Length of footrest ±10mm,,N.A,
"",Depth of footrest ±10mm,,N.A,
"",Height of footrest ±10mm,,N.A,
"",Finish of exposed edges,,N.A,
"","Material thickness offootrest ±2mm",,12mm,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
COLOUR & FINISH,,Table top finish,,"Laminate in colour with matt finish 0.6-0.8mmthickness of type S,F or P having index no.3.2.3conforming to IS 2046/Latest with having balancinglaminate of 0.5mm thick on other side"
"",,Table top shade,,Oxford cherry
WARRANTY,,"Warrantee period innumber of years",,1
CERTIFICATION,,"Test reports to be furnished tobuyer on demand",,YES
"","Product having BIFMAcertification",,YES,
"","OEM of offered product isISO 9001:2015 certified",,YES,
"","OEM of offered product isISO 14001:2015 certified",,YES,
"","OEM of offered product isISO 18001:2007 certified",,YES,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************SRINAGAR315",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,***********,,***********SRINAGAR,,3,,15,
