Bid Details,,,
Bid End Date/Time,,05-08-2021 17:00:00,
Bid Opening Date/Time,,05-08-2021 17:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,60 (Days),
Ministry/State Name,,Ministry Of Home Affairs,
Department Name,,Department Of Home,
Organisation Name,,"Office Of The Registrar General And Census CommissionerCensus Of India",
Office Name,,"Directorate Of Census Operations, Bihar",
Total Quantity,,4,
Item Category,,Executive Table,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Registered Brand,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
GENERIC,,Mode of supply,,"Knocked Down To Be Assembled At Consignee Site ByThe Seller"
"",,Understructure of table,,Gable end and modesty panel
"",,Storage provided,,"One side, Both side"
"",,Keyboard tray,,"Not provided, NA"
"",,Foot rest,,"Not Provided, NA"
MATERIAL,,Table top Material,,"Three layer prelaminated particle board(WoodProduct) of grade II type II of IS 12823/Latest"
"",,"Gable end and modestypanel material",,"Three Layer prelaminated particles board(woodproduct) of grade II type III of IS 12823/Latest"
"",,Leg Material,,NO LEGS
MISC,,Table top plain sides,,"Edge to be banded with PVC tape of 2mm thick withthe help of hot melt glue"
"","Gable end and modesty panelplain side",,"Edge to be banded with PVC tape of 2mm thick withthe help of hot melt glue",
"","Thickness of table top ±2mm",,25.0,
"","Thickness of gable end andmodesty panel ±2mm",,"25.0, 19.0",
"",Length of table top ±10 mm,,"1500.0, 1200.0",
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",,Depth of table ±10 mm,,"750.0, 600.0"
"",,Height of table ±10 mm,,750.0
"",,"Dimension of leg(mmXmm)±5mm",,No legs
STORAGE UNIT,,"Number of Storage unitprovided",,Triple storage
"",,Width of storage unit ±10mm,,400mm
"",,"Depth of storage unit in mm(±10mm)",,470
"",,"Height of smallest storage unit±5mm",,125mm
"",,"Height of largest storage unit±5mm",,305mm
KEYBOARD TRAY,,Type of keyboard tray,,N.A
"","Material of keyboard tray andRight angle L-type supportingbracket",,N.A,
"",Keyboard adjustablity,,N.A,
"",fixing of supporting bracket,,N.A,
"","Length of telescopicchanne±l0mm",,"400mm, N.A",
"","Average weight of telescopicchannel ±50Gms",,"600Gms per set, N.A",
"",Keyboard front width±10mm,,N.A,
"",Keyboard depth±10mm,,N.A,
"",Keyboard height±10mm,,N.A,
"","Finish of exposed edges ofkeyboard tray",,N.A,
"","Material thickness of keyboardtray ±1mm",,N.A,
"",Material of footrest,,N.A,
"",Length of footrest ±10mm,,N.A,
"",Depth of footrest ±10mm,,N.A,
"",Height of footrest ±10mm,,N.A,
"",Finish of exposed edges,,N.A,
"","Material thickness offootrest ±2mm",,N.A,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
COLOUR & FINISH,,Table top finish,,"Laminate in colour with matt finish 0.6-0.8mmthickness of type S,F or P having index no.3.2.3conforming to IS 2046/Latest with having balancinglaminate of 0.5mm thick on other side, Laminate incolour with swede finish 0.6-0.8mm thickness of typeS,F or P having index no.3.2.3 conforming to IS2046/Latest with having balancing laminate of 0.5mmthick on other side"
"",,Table top shade,,As per Buyer's choice
WARRANTY,,"Warrantee period innumber of years",,1
CERTIFICATION,,"Test reports to be furnished tobuyer on demand",,YES
"","Product having BIFMAcertification",,NO,
"","OEM of offered product isISO 9001:2015 certified",,YES,
"","OEM of offered product isISO 14001:2015 certified",,YES,
"","OEM of offered product isISO 18001:2007 certified",,YES,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer800025,DIRECTORATE OFCENSUS OPERATIONS, BIHAR,KENDRIYA SADAN, C-GBLOCK,8TH FLOOR KARPOORI1Rajesh Kumar415THAKUR SADAN, ASHIANADIGHA ROAD, PATNA -800025(NEAR- RAJIV NAGARPOLICE STATION)",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Rajesh Kumar,,"800025,DIRECTORATE OFCENSUS OPERATIONS, BIHAR,KENDRIYA SADAN, C-GBLOCK,8TH FLOOR KARPOORITHAKUR SADAN, ASHIANADIGHA ROAD, PATNA -800025(NEAR- RAJIV NAGARPOLICE STATION)",,4,,15,
