Bid Details,,,
Bid End Date/Time,,09-08-2021 09:00:00,
Bid Opening Date/Time,,09-08-2021 09:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Ministry Of Defence,
Department Name,,Department Of Military Affairs,
Organisation Name,,Indian Army,
Office Name,,***********,
Total Quantity,,100,
Item Category,,HDPE/PE PLASTIC PALLETS (INJECTION MOULDED),
Years of Past Experience required,,1 Year (s),
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Past Performance,,50 %,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",Product should have stackable,,Yes
"",Type,,"Reversible double deck pallet - A pallet built withmatching top and bottom board layout"
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",,"Thickness of runners (speciallyfor middle runner)",,N.A
"",,Pallet Design,,"Perforated Pallet with 3 longitudinal skids andstrapping hooks"
"",,Top Surface,,"Perforated Top with 12 numbers of grommet ongrilled deck"
"",,Bottom Surface,,"Perforated Bottom with 12 numbers of grommet ongrilled deck"
"",,Way for Entry/Fork entry,,4-ways fork entry inlet (for easy forklift operative)
"",,"Minimum Dynamic Loadsuitability",,1000 Kg
"",,"Minimum Uniformlydistributed Static Loadsuitability",,3000 Kg
"",,Pallet should have rack lock,,No
"",,Pallet should have safety edge,,No
"",,"Pallet should have Wingrunners",,No
"",,Pallet should be Washable,,Yes
"",,"Agree to provide Advancesample(s) for buyer’s approval(Applicable in case of ordersplaced against bid and notapplicable in case of DirectBuying)",,Yes
DIMENSION,,Length,,1300 mm
"",,Width,,1100 mm
"",,Height,,150 mm
"",,Tolerance in Dimensions,,"+/- 5 mm (for Length, Width and Height)"
MATERIAL,,"Material for Construction ofPlastic Pallet",,100 percent Virgin HD/PE Pallet grades
FINISH,,Colour,,Blue
MARKING,,Marking on each Plastic Pallet,,"Name of Manufacturer/Identification mark with Monthand Year"
"","Static Load test value shouldbe Confirming to therequirement [Test method - asper IS:13664 - 1994 in line withIS:6219 – 1989 as amended upto date]",,Yes,
"","Corner Drop test value shouldbe Confirming to therequirement [Test method - asper IS:13664 - 1994 in line withIS:6219 – 1989 as amended upto date]",,Yes,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",,,,
WARRANTY,,Life/Warranty periods in Year,,"1, 2, 3 Or higher"
CERTIFICATIONS,,"Availability of Test Report fromDesignated AHSP / NABL / ILACaccredited or CentralGovernment Lab to proveconformity of products to therelevant Type",,No
"","Test reports to be furnished tobuyer on demand, if claimed tobe available Hint : NA if testreport is not available",,N.A,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************BAREILLY10030",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,***********,,***********BAREILLY,,100,,30,
