Bid Details,,,
Bid End Date/Time,,29-07-2021 20:00:00,
Bid Opening Date/Time,,29-07-2021 20:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Ministry Of Defence,
Department Name,,Department Of Military Affairs,
Organisation Name,,Indian Army,
Office Name,,***********,
Total Quantity,,16,
Item Category,,Stainless Steel Worktable With Undershelf,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
GENERIC,,Configuration of Table,,SS Table with Bottom shelf only
"",,Shape of Table,,Rectangular
"",,Ground clearance in mm,,100 mm
"",,"Number of support forTable top/Shelves",,2 no
"",,Mode of supply,,Assembled Ready To Use
"MATERIAL ANDMATERIALTHICKNESS",,Table top material,,Stainless steel Grade 202 galvanized
"",Table top thickness,,1.5 mm,
"",Table shelves material,,Stainless steel Grade 202 galvanized,
"",Table shelves thickness,,1.0 mm,
"",Leg material of table,,Stainless steel Grade 202 galvanized,
"","Wall thickness of legmaterial",,1.5 mm,
"",Support material for table,,Stainless steel Grade 202 galvanized,
"","Wall thickness of supportmaterial",,1.5 mm,
"",Width of table ± 5mm,,1220 mm,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",,Depth of table ± 5mm,,760 mm
"",,Height of table ± 5mm,,915 mm
"",,Size of Leg,,40mm x 40mm
WARRANTY,,Warranty Period,,2 - Year
CERTIFICATION,,"Test reports to be furnishedto buyer on demand",,No
"","OEM of offered product isISO 9001:2015 certified",,No,
"","OEM of offered product isISO 14001:2015 certified",,No,
"","OEM of offered product isISO 18001:2007 certified",,No,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************PANCHKULA1630",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,***********,,***********PANCHKULA,,16,,30,
