Bid Details,,,
Bid End Date/Time,,03-08-2021 10:00:00,
Bid Opening Date/Time,,03-08-2021 10:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Ministry Of Defence,
Department Name,,Department Of Military Affairs,
Organisation Name,,Indian Navy,
Office Name,,***********,
Total Quantity,,5,
Item Category,,PLASTIC BODY EVAPORATIVE COOLERS- DESERT COOLER,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,3 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Registered Brand,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
CAPACITY / TYPE,,"Nominal Air Delivery /Capacity (Cubic meter perhour)",,5000
"",,"Maximum Power Consumptionat zero static pressure",,350 Watts for 5000 nominal capacity
"",,Type of Mounting,,Floor Standing with integral castor wheels
GENERIC,,"Sump Tank Capacity(minimum)",,100 Liters for 5000 nominal capacity
"",,Fan Size,,450 mm for 5000 nominal capacity;
"",,Blade Material,,High Impact Plastic
"",,Filter Pads,,Synthetic Honeycomb pads Or higher
"",,"Float Valve installation atinlet",,Yes
CERTIFICATION,,"Availability of the FanMotor test report fromCentral Gov/ NABL/ ILACaccredited lab",,No
Specification,,Specification Name,,Bid Requirement (Allowed Values)
WARRANTY,,WARRANTY,,1.0
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************VELLORE515",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,***********,,***********VELLORE,,5,,15,
