Bid Details,,,
Bid End Date/Time,,06-08-2021 12:00:00,
Bid Opening Date/Time,,06-08-2021 12:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Odisha,
Department Name,,Information And Public Relations Department Odisha,
Organisation Name,,N/a,
Office Name,,Odisha Information Commission Bhubaneswar,
Total Quantity,,1,
Item Category,,Meeting Table,
"Minimum Average Annual Turnover of theBidder",,1 Lakh (s),
OEM Average Turnover (Last 3 Years),,6 Lakh (s),
Years of Past Experience required,,3 Year (s),
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover,Additional Doc 1(Requested in ATC)*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Past Performance,,80 %,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MSE Purchase Preference,,No,
"",MII Purchase Preference,,No,
Brand Type,Registered Brand,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",Material of Table Top,,Toughened Glass Top
"",Material of Legs,,"Three Layer Prelaminated Particle Boards Of Grade-IIType-II Of IS:12823/Latest"
"",Material of Modesty Panel,,"Three Layer Prelaminated Particle Boards Of Grade-IIType-II Of IS:12823/Latest"
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",,,,
"",,"Thickness of Metal Sheet / MDFBoard used for modesty panel(in mm) +/- 5%",,30 mm
GENERIC,,Seating Capacity,,10 SEATER
"",,Shape of Table Top,,oval
"",,Wire Management,,With
"",,Number of socket box,,"4, 5, 6, 7, 8 Or higher"
"",,"In Built Sockets for LAN /Internet",,YES
"",,Type of Socket Box,,fixed with flip cover
"",,Wire entery System,,Through legs
"",,Type of understructure,,"Leg type, wooden panel type"
"",,Number of Legs per Seat,,Wooden Panels Support
"",,Modesty panel,,YES
DIMENSION,,"Length in mm (Select NA incase of Round Table)±10(mm)",,3000 mm
"",,"Width in mm (Diameter incase of RoundTable)±10(mm)",,1200
"",,Height in mm (±5 mm),,750 mm
"",,Thickness of Top ±2(mm),,"12, 15, 18, 25, 30, 35, 45, 33 Or higher"
COLOUR & FINISH,,Colour of Laminate,,"teak, AS PER BUYER CHOICE"
"",,Packing,,"Five Ply Corrugated Board And Strapped With 12 MmHdpe Strap, Gutta Packing"
WARRANTY,,"Warranty period in numberof years",,"1, 2, 3, 4, 5 Or higher"
CERTIFICATiON,,"Test reports to be furnished tobuyer on demand",,YES
S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Biswambhar Sarangi,,"751007,Block B-1, ToshaliBhawan, Satyanagar,Bhubaneswar",,1,,45
