Bid Details,,,
Bid End Date/Time,,06-08-2021 14:00:00,
Bid Opening Date/Time,,06-08-2021 14:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Maharashtra,
Department Name,,Revenue And Forest Department Maharashtra,
Organisation Name,,N/a,
Office Name,,Collector Office Yavatmal,
Total Quantity,,6,
Item Category,,All in One PC,
"Minimum Average Annual Turnover of theBidder",,2 Lakh (s),
Years of Past Experience required,,3 Year (s),
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,Bidder Turnover*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Bid to RA enabled,,Yes,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MSE Purchase Preference,,No,
"",MII Purchase Preference,,No,
Brand Type,Registered Brand,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
Motherboard,,Chipset Series,,"Intel Q Series, Intel Z Series Or higher"
"",,Chipset Number,,Intel Q470 Or higher
Processor,,Processor Make,,Intel
"",,Processor Generation,,10.0 Or higher
"",,"Number of Cores perProcessor",,"6, 8, 10 Or higher"
"",,"Processor Base Frequency(GHz)",,"3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 4, 4.1, 4.2,4.3 Or higher"
"",,Processor Description,,"Intel Core i5, Intel Core i7, Intel Core i9 Or higher"
"",,Processor Number,,"Intel Core i5 10500, Intel Core i5 10600, Intel Core i710700, Intel Core i7 10700K, Intel Core i9 10900, IntelCore i9 10900K, 10th-generation Intel Core i7, TurboBoost up to 5.0GHz Or higher"
"",,Out of Band Management,,"Intel vPro, AMD DASH, NA Or higher"
Graphics,,"Size of Memory in Case ofDedicated Graphic Card(GB)",,"0, 1, 2, 3, 4, 8 Or higher"
Specification,,Specification Name,,Bid Requirement (Allowed Values)
Operating System,,"Operating System (FactoryPre-Loaded)",,Windows 10 Professional
Memory,,RAM Size (GB),,"8, 16, 32, 64 Or higher"
"",,"RAM Expandability up to(using spare DIMM Slots inGB)",,64 Or higher
Storage,,"Type of Drives used topopulate the Internal Bays",,"HDD, PCIe_SSD"
"",,Total HDD Capacity (GB),,"1000, 1500, 2000, 2500, 3000 Or higher"
"",,Total SSD Capacity (GB),,"512, 768, 1024, 2048, 4096 Or higher"
"",,Optane Memory (GB),,"8, 16, 32, 0, 64 Or higher"
Display,,Display Size (INCHES),,"23.6, 23.8, 27, 34, 37.5 Or higher"
"",,Display Type,,"Non Touch, Touch Or higher"
"",,Panel Technology,,"IPS, WVA Or higher"
"",,Display Resolution (PIXELS),,"1920x1080, 1920 x 1200, 3200x1800, 3840 x 2160,3440 x 1440, 4096x2304, 5120x2880 Or higher"
"",,"Availability of Webcamintegrated with Display",,Yes
"",,"If yes, Resolution of Webcam",,"FHD, NA Or higher"
"",,"Availability of Speakersintegrated with Display",,Yes
"",,"If Yes, Number of Speakersavailable",,2 Or higher
Connectivity,,Wireless Connectivity,,Yes
"",,"If Yes, Type of WirelessConnectivity",,"Wi-Fi 6 AX200 2x2 (Gig+) + Bluetooth 5.0, Wi-Fi 6AX200 + Bluetooth 5.0 Or higher"
"",,Number of Ethernet Ports,,"1, 2 Or higher"
"",,Type of Ethernet Ports,,10/100/1000 on board Integrated Gigabit Port
"",,Bluetooth Connectivity,,Yes
Generic,,Optical Drive,,N/A
"",,Headphone out,,Yes
"",,Microphone-in,,Yes
"",,Stand,,"Standard, Height Adjustable,Recliner/Flexi/Articulating Or higher"
Input Devices,,Mouse Connectivity,,"Wired, Wireless Or higher"
"",,Keyboard Connectivity,,"Wired, Wireless Or higher"
"",,Type of Keyboard,,Standard with Rupee Symbol Or higher
Warranty,,"On Site OEM Warranty(Year)",,"3, 5 Or higher"
"Specification ParameterBid Requirement (Allowed Values)NameHDD SPEED@7200 RPM","Specification ParameterName",,Bid Requirement (Allowed Values)
HDD SPEED,,@7200 RPM,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer445001,Collector office,Omprakash1Administrative Building , Civil615Gajananrao Jadhaolines , Yavatmal",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,"OmprakashGajananrao Jadhao",,"445001,Collector office,Administrative Building , Civillines , Yavatmal",,6,,15,
