Bid Details,,,
Bid End Date/Time,,02-08-2021 14:00:00,
Bid Opening Date/Time,,02-08-2021 14:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Rajasthan,
Department Name,,Medical Health And Family Welfare Department Rajasthan,
Organisation Name,,N/a,
Office Name,,Chief Medical Health Office Kota,
Total Quantity,,2,
Item Category,,ICU Ventilator,
"Minimum Average Annual Turnover of theBidder",,15 Lakh (s),
OEM Average Turnover (Last 3 Years),,120 Lakh (s),
Years of Past Experience required,,2 Year (s),
"MSE Exemption for Years Of Experienceand Turnover",,Yes,
"Startup Exemption for Years Of Experienceand Turnover",,Yes,
Document required from seller,,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover,Compliance of BoQspecification and supporting document*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Past Performance,,10 %,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Estimated Bid Value,,3000000,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Advisory Bank,,ICICI,
ePBG Percentage(%),,2.50,,
Duration of ePBG required (Months).,,12,,
"",MSE Purchase Preference,,No,
"",MII Purchase Preference,,No,
Brand Type,Registered Brand,
"",Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",Standards,,Certifications for the product,,Both USFDA and EU CE
"",,,"Confirmity to qualitymanagement standards",,ISO 9001 & ISO 13485
"",,,"Confirmity to electrical safetystandards",,IEC 60601-1 or ISO 80601-2-12 or BIS equivalent
"","PerformanceParameters",,Patient Type,,"Adult, pediatric and neonatal"
"",Type of technology,,"Turbine, Compressor",,
"",Tidal volume in ml,,2 ml or less to 1500 ml or more,,
"","Respiration rate,breaths/min",,upto 150 or more,,
"",Trigger mechanism,,Both pressure and flow,,
"","Inspiratory flow rate, L/min",,"upto 120 or more, upto 30 or more, up to 150 or more",,
"","Inspiratory pressure, cmH2O",,upto 80 or more,,
"",IE ratio,,1:10 to 4:1,,
"",Sigh breath function,,Yes,,
"",Control panel lock,,"Yes, No",,
"","Facility for double lungventilation",,"Yes, No",,
"","Maximum wave formsdisplayed",,"3 (Pressure and time, volume and time , flow andtime)",,
"",Number of loops,,"2 loops (P-V, F-V) with facility of saving of 2 Loops forreference, 2 loops (P-V, F-V)",,
"","Lung recruitment tools (PVloops) / OLT (Open lungtools)",,"Yes, No",,
"","Lung mechanicsvisualization tool",,"Yes, No",,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"","Capnography/CO2monitoring",,Yes,
"","Esophageal /transpulmonary pressuremonitoring",,"Yes, No",
"",Stress index,,"Yes, No",
"",Modes of ventilation,,"Volume controlled, Pressure Controlled, PressureSupport, SIMV with Pressure support ,SIMV withvolume control with pressure support,,CPAP/PEEP,Inverse Ratio Ventilation,Non invasisveventilation,Apnea /back up ventilation,SIMV (VC) withPressure support; SIMV (PC) with Pressure Support;SIMV (PRVC) with Pressure Support",
"","ASV(Adaptive supportventilation) or ALT",,Yes,
"",APRV/Bivent/Bi level,,Yes,
"","MMV +PSV /ASV or ALPV orAutomode",,Yes,
"",PRVC/Auto flow,,Yes,
"",High flow oxygen therapy,,"Yes, No",
"","Automatic weaning systemprovided",,"Yes, No",
"",Volume Support,,Yes,
"",Patient alarms,,"Low/high FiO2, Low/high minute volume , Lowinspiratory pressure , High pressure, Low PEEP , HighPEEP , Apnea, Continuous high pressure/occlusion,Inverse IE, High respiratory rate, Breathing circuitdisconnect",
"",Equipment alarms,,"Gas-supply failure , Power failure, Vent inoperative,Low battery, Self-diagnostic",
"","Non-forced Slow VitalCapacity",,"Yes, No",
"",Physiologic Dead space,,"Yes, No",
