Bid Details,,,
Bid End Date/Time,,06-08-2021 16:00:00,
Bid Opening Date/Time,,06-08-2021 16:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Ministry Of Civil Aviation,
Department Name,,Na,
Organisation Name,,Bureau Of Civil Aviation Security (bcas),
Office Name,,Central Delhi,
Total Quantity,,1,
Item Category,,book scanner,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Bid to RA enabled,,Yes,
"Time allowed for Technical Clarificationsduring technical evaluation",,3 Days,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Registered Brand,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",Book Scanner Type,,Table top (without computer and display screen)
"",Technology,,Digital Camera Scanning
"",Image sensor Chip,,"CCD, CMOS"
"","Glass Plate to provide flatimages",,Not Available
"","If available, Shape of GlassPlate",,NA
"",Movement of Glass Plate,,NA
"",Number of Digital Cameras,,"1, 2 Or higher"
"","Scan Area (Book Size whenopen)",,A3
"","Maximum Book Thickness(mm)",,50
"",Optical Resolution (dpi),,600 Or higher
"",Scan Speed (Sec per Scan),,More than 1.0 Or higher
"",Buffer Memory (MB),,More than 1024.0 Or higher
"",Scan Mode (Colour format),,Colour / Black & White / Gray Scale
"",Optical Zoom,,No
"",Book Holder / Cradle,,Flat Bed
"",Book position during scanning,,Face-up on Flat Bed cradle
"",Working mode (Page turning),,Manual
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",,"Network Interface (Gigabit FastEthernet with TCP/IP)",,No
"","Applications ProgrammingInterface (API)",,etc,
"",Output formats,,jpgpdfwordexcel,
"",Supported Operating Systems,,xpwin7-103264bit,
"",Image Processing abilities,,ocrflattering,
"","On Site OEM Warranty(Year)",,1,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer500409,BLOCK-A, OLD SITE1Gundeboina AshokOFFICE, RGI AIRPORT,115SHAMSHABAD, HYDERABAD",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Gundeboina Ashok,,"500409,BLOCK-A, OLD SITEOFFICE, RGI AIRPORT,SHAMSHABAD, HYDERABAD",,1,,15,
