Bid Details,,,
Bid End Date/Time,,23-07-2021 13:00:00,
Bid Opening Date/Time,,23-07-2021 13:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,60 (Days),
Ministry/State Name,,Ministry Of Railways,
Department Name,,Na,
Organisation Name,,N/a,
Office Name,,Secr,
Total Quantity,,30,
Item Category,,Ceiling Fan - BLDC,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Certificate (Requested in ATC),OEM Authorization Certificate*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Registered Brand,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"Size / Type /Performance As perIS 374 latest",,Fan Size,,1200.0
"",,"Minimum Air delivery andservice value",,As per clause 8.1 of IS: 374 latest
Energy Efficiency,,BEE Star Rating,,"1 Star, 2 Star, 3 Star, 4 Star, 5 Star, NA (for BEE starrating not available) Or higher"
"DeclaredPerformance /AdditionalInformation",,"Air delivery at test voltage(m3/min)",,220.0 - 600.0 Or higher
"",Power consumption (Maximum),,10.0 - 32.0 Or lower,
"","Service value at rated voltage(m3/min/w)",,6.0 - 10.0 Or higher,
"",Power factor,,0.98,
"",Number of blades,,3,
"",Type of Regulator,,Without Regulator,
"",Number of running position,,5,
"",class of Insulation,,Basic Insulation,
"",Total Harmonic Distortion (%),,0.0 - 7.0 Or lower,
"",Standard Colour,,White,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",,"Length of Down Rod (withoutShackle)",,400.0
"",,Overall weight of the ceiling fan,,4.1
Salient Features,,Salient Features,,Hassle-free operations
"",,"Compliance to governingspecification (IS: 374 latest)",,Marking As per clause 9
Accessories,,"Accessories in the scope ofsupply",,Clamp
Warranty,,Warranty ( in year) Min,,"1, 2, 3, 5 Or higher"
Certification,,"Type of lab which carried outTest of Complete Product toprove the conformity of productas per specification",,Govt Lab
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer492008,Sr DMM SECR DRMBirendra Nath1Office , South East Central3030MandalRailway",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,"Birendra NathMandal",,"492008,Sr DMM SECR DRMOffice , South East CentralRailway",,30,,30,
