Bid Details,
Bid End Date/Time,26-07-2021 20:00:00
Bid Opening Date/Time,26-07-2021 20:30:00
Bid Life Cycle (From Publish Date),90 (Days)
Bid Offer Validity (From End Date),75 (Days)
Ministry/State Name,Ministry Of Defence
Department Name,Department Of Military Affairs
Organisation Name,Indian Army
Office Name,***********
Total Quantity,455
Item Category,"LV7/TMB 2530-017910 ASSY CLUTCH MASTER CYL 25.4 MMDIA"
"Minimum Average Annual Turnover of theBidder",2 Lakh (s)
Years of Past Experience required,3 Year (s)
"MSE Exemption for Years of Experience andTurnover",No
"Startup Exemption for Years of Experienceand Turnover",No
Document required from seller,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC)*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer"
Past Performance,40 %
Bid to RA enabled,Yes
"Time allowed for Technical Clarificationsduring technical evaluation",2 Days
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",Yes
"Inspection to be carried out by Buyers ownempanelled agency",Yes
Type Of Inspection,Post Dispatch
"Name of the Empanelled InspectionAgency/ Authority",Board of Officers
Evaluation Method,Total value wise evaluation
"",Advisory Bank,,State Bank of India,
EMD Percentage(%),,2.00,,
EMD Amount,,10920,,
"",Advisory Bank,,State Bank of India,
ePBG Percentage(%),,3.00,,
Duration of ePBG required (Months).,,14,,
"",MSE Purchase Preference,,No,
"",MII Purchase Preference,,No,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"",,,,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************KAMRUP45560",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,***********,,***********KAMRUP,,455,,60,
