Bid Details,
Bid End Date/Time,02-08-2021 10:00:00
Bid Opening Date/Time,02-08-2021 10:30:00
Bid Life Cycle (From Publish Date),90 (Days)
Bid Offer Validity (From End Date),60 (Days)
Ministry/State Name,Ministry Of Defence
Department Name,Department Of Military Affairs
Organisation Name,Indian Army
Office Name,***********
Total Quantity,10
Item Category,Shooting Kit (Korean) Marksman House Canvas Material
"Minimum Average Annual Turnover of theBidder",7 Lakh (s)
OEM Average Turnover (Last 3 Years),28 Lakh (s)
Years of Past Experience required,1 Year (s)
"MSE Exemption for Years of Experience andTurnover",No
"Startup Exemption for Years of Experienceand Turnover",No
Document required from seller,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover,Additional Doc 1(Requested in ATC),Additional Doc 2 (Requested inATC),Additional Doc 3 (Requested in ATC),Additional Doc 4(Requested in ATC),Compliance of BoQ specification andsupporting document*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer"
Past Performance,20 %
Bid to RA enabled,Yes
"Time allowed for Technical Clarificationsduring technical evaluation",14 Days
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",Yes
"Inspection to be carried out by Buyers ownempanelled agency",Yes
Bid Details,,,
Type Of Inspection,,Post Dispatch,
"Name of the Empanelled InspectionAgency/ Authority",,Board of Officers,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Advisory Bank,,AXIS BANK LTD,
"",ePBG Percentage(%),,3.00,
"",Duration of ePBG required (Months).,,14,
"",MII Purchase Preference,,Yes,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************INDORE1090",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,***********,,***********INDORE,,10,,90,
